darija,eng,darija_ar
jibi lmdal xta kina,there is rain bring your umbrella,جيبي المدل اكثر كينا
kay3tk ma3lomat na9sin,they give lacking information,كايعطك معلومات ناقصين
makayhatch no9at fi site,they dont put grading on website,مكايهاتش نقاط في سيت
5as n5dmo 3lih db mandiy3ox lwa9t,they should work and not waste time,خاص نقدمو عليه دب مانديوعوش الوقت
li 3ando xi tasa2ol ytarho,ask your questions,لي عندو شي تساؤل يترهو
lat3awna nsarbi x4ol,i will work fast,لاتعاونا نسربي خلو
ladrnah bjoj ankhadmo bzarba.,if we work together it will be easier,لادرناه بجوج أنخدمو بزربة.
mtaf9a m3ak,i agree with you,متافقة معاك
bnsba lkhadma khas nkounou 9rab,we need to be close to work,بنسبة الخدمة خاص نكونو قراب
5ask thadn a3sab 5ibin,calm down dont be nervous,خاصك تهدن أعصاب خيبين
nbahtou f dik sujet li ay3tewna,we should search together,نباهتو ف ديك سوجي لي أيعطونا
na9cho lma3louma bjoj,we should discect information together,ناقشو المعلومة بجوج
ndiro ghi litaf9na 3liha,we do what we agreed on,نديرو غير لي تافقنا عليها
wax ktna9x lfikra 3ad taba9ha,do you disect info then you talk about it,واش كتناقد الفكرة عاد تباحها
motahafida fi l2afkar ta3k,conservative ideas,متحفيدة في الأفكار تاعك
afkark homa li ythato,you think you are right,أفكارك هوما لي يتهتو
mafihomx ni9ax,cannot be discussed,مافيهمش نيقاك
kal9a bzaf ta3 so3obat,you find too much dificulties,كلقة بزاف تاع الصعوبات
la 4alt xi haja raha shiha,whatever you say is correct,لا علت شي حاجة راها شيها
lmona9axa ta3 l2otroha bdat,the discussion of your subject,المنقاخة تاع الأوترها بدات
darouri na9chou lfikra,we should discuss it,داروري نقشو الفكرة
lbohot ki3almona nkono saborin,searching makes you patient,البوهوت كيعلمونا نكونو سبورين
sab howa kolxi,sab is everything,صاب هو كلشي
kayna l3andi l3a2ila,i have familly there,كاينا لعندي العائلة
joj no9at 3lax kanrakz sf,i focus on two points,جوج نقط علاش كنركز سف
khas ghi nbahtou mazyan,we should just put effort,خاص غي نبهتو مزيان
lbohot l9dam darorin,old research are important,البحوت القدام دارورين
nswlou n'as li sab9ina,we ask people,نسولو نأس لي سبقينا
nsniw 2itifa9ia lyom,we sign the agreement today,نسنيو اتفاقية اليوم
bnisba liya kinin nas y3awnona,there are people who could help us,بنسبة ليا كينين ناس يعاونونا
tawjih sahih nisf l3amal,good orientation counts,توجيه صحيح نصف العمل
kayna wahd sahbti t3awni,i have a friend who could help,كاينا واحد صاحبتي تعاوني
kaynin des gropt zwinin w kay3awnou,there are some good groups,كاينين ديس ڭروپت زوينين و كايعاونو
ki3awno hta ana 3andi xi grps,i need to belong to a group,كيعاونو هتا أنا عندي شي جروبس
fou9ach ndwiw m3ah,when should we speak to him,فوقاش ندويو معاه
nsaliw s5 o nsfto lih,we end s5 then we send,نساليو سح و نسفتو ليه
nsaliw s5 a yban ax 4adi ndiro,we end s5 then we think ahead,نساليو سح أ يبان أكس عادي نديرو
3afak rsli liya lorganique,please send me organique,عفاك رسلي ليا لأورغانيك
raha kina ghi matal3ax lik,its available just cannot be shown,راها كينا غير متلعق ليك
matal3ax liya ghi tsftha,please send it cant find it,ماتالعاش ليا غير تسفتها
tsftha liya wahd lbnt onrslha lik,i will receive it then send it,تصفتها ليا واحد البنت ونرسلها ليك
lbnt mal9athax,the girl didnt find it,البنت مالقاتهاش
kif rslato lia sfto lik,how i received i sent it,كيف رسلاتو ليا سفتو ليك
ma9lbt ax maktob,didnt look whats written,ماقلبت أكس مكتوب
mchi mouchkil,no problem,مشي مشكل
4adi y3awdo yhtoh fi grp,they will post it again,عادي يعاودو يحطوه في گروب
kihot fi lmajmo3a,they post on the group,كيهوت في المجموعة
n9albo o nxofo ax kayn,we will look and will know whats there,نقلبو و نخوفو أكس كاين
bghit nstaxr m3ak,i want a photo with you,بغيت نستغر معاك
wax nsfto lprof lyom ola 4da,we send today or tomorrow,واكس نسفتو لبروف اليوم أولا على قدر
sayfti 9bla ysba9na xi had,send before someone send before us,سايفتي قبل يسبقنا شي هاد
mab9ax b4a y3awna,they wont be of help,مابقاش بعدا يعاونا
9alabti 3la lmodo3,you found the subject,قلبتي على المضوع
nseftoulih db,to send it now,نسفتوليه دب
lmodo3 li mdawra 3lih fih mayt9al,i have a good topic,المضوع لي مدورة عليه فيه مايتقال
men l2ahsn howa y3tina lmodo3,its better he gives us the topic,من الأحسن هو يعطينا المضوع
thadri m3ah nti,you speak to him,تهدري معاه نتي
5as ghi gmail ta3o,we only need his gmail adress,خاص غير جيميل تاعو
kayn f site d fst hwa chef dГ©partement,there is a website of fst,كاين ف سيت د فست هو شاف ديپارتمان
nxof wax nl9ah,look if we could find it,نخوف واكس نلقاه
men l2ahsn nsfto lih fi email rasmi,its better we send email,من الأحسن نسفتو ليه في إيميل رسمي
tla9a bih maxi bhal telefon,to meet is better than a call,تلاقا بيه ماكسي بحال تليفون
numra jatni na9sa,number is lacking,نمرة جاتني ناقصة
safi wa5a hta tjawbk,ok wait to call,صافي واحا حتا تجاوبك
men l2ahsan gmail,gmail is better,من الأحسن جيميل
nseftoulih f gmail wnhaniw rasna,we send in gmail would be better,نسفتوليه ف جيمايل ونهانيو راسنا
wax t9dri thadri m3ah,could you speak to him please,واكس تقدري تهضري معاه
mafiha walou,no problem,مافيها والو
lbdya katkon s3iba,the first is always hard,البدية كاتكون صعيبة
nchoufou ghi kifach nseftoulih lmsg,we how to sent it,نشوفو غي كيفاش نسفتوليه لمسڭ
misaj ma4adix y9rah bkri,we wont read it as he receives it,ميساج ماعاديكس يقراه بكري
nseftoulih bhal hakka,we send it like that,نسفتوليه بهال هكذا
tan9ad l msg wnwarihlik,i will make the message and show it to you,تانقد المسج ونوريهم
nseftoulih f whatsapp,we will send it via whatsapp,نسفتوليه ف واتساب
ta3tini smiya dyalk,give me your name please,تعطيني اسمية ديالك
seftelih email hsan,send it via email,سفتليه إيميل حسان
tal ghada 3ad nseftoulih,wait till tomorrow,تال غدا عاد نسفتوليه
choufi had lmsg wach mzyan.,see if this is a good message,شوفي هاد المسج واش مزيان.
bhal haka ktabt,like this,بهال هاكا كتابت
mazyan seftehlih f email,good send it now,مزيان سفتهليه ف إيميل
sft lwahd l2ostad ysahah liya,send me a teacher to correct,سفت لواحد الأستاد يساهه ليا
bsit bla t3a9di l2omor,dont overcomplicate it,بسيط بلا تعقدي الأمور
mazal mjwbni 3la lkonji,he didnt answer about my holiday,مازال مجبني على الكنجي
chaf kamlt 5admti,i finished my job,شفت كملت خدمتي
mazal mat5lst,i didnt get paid yet,مازال ماتخلست
jawbni lprof,to teacher answered me,جاوبني لبروف
nchoufou chi haja f bm,we see something in bm,نشوفو شي حاجة فبم
manba3douch 3la lmodo3,dont close the topic,مانباعدوش على المضوع
bnat s3ib ysafro bohdhom,girls wont travel alone,بنات صعيب يسافرو بوحدهم
stage li mohim,internship is important,المرحلة لي مهم
5as ghi nsaliw lmtihanat,we need to finish our exams first,خاص غير نساليو لامتحانات
nmxiw nhoto lmilf 3la wad stage?,we go see our application for internship,نمشيو نهوتو الملف على واد سطاج؟
4adi n9alb men ba3d s5,i will search after s5,عادي نقلب من بعد الساعة
7wayji fezgou,my clothes are wet,حوايجي فيزڭو
9ari 7aasim.,study hassim,قاري حسيم.
ma3ndich m3a z7am,i dont like crowdy people,ماعنديش معا زحام
rah fay9 khasser,he didnt wake up well,راه فايق خاسّر
rah ka3i 3lik,he is angry at you,راه كاعي عليك
rah 3ksi makanfkrouch b7al b7al,he doesnt think like me,راه عكسي ماكانفخروش بحال بحال
rah mo7taram koulchi kigoulha fih zwina,he has good reputation,راه محترم كولشي كيڭولها فيه زوينا
rah mo9iim f blad akhra,i live in another country,راه مقيم فبلاد أخرى
rah weld mdinti,he is my neighbor,راه ولد مدينتي
3ziz 3lih lk7l,he likes black,عزيز عليه الكحل
rah mt3sseb bezzaf,he is stubborn,راه متعصب بزّاف
ki3jbou yakoul wagf,he eat while standing,كيعجبو ياكول واقف
rah mtwaf9 m3a chourout dialk,i agree with your terms,راه متوافق معا شروت ديالك
houa sbabi f hadche,he is the reasons for this feeling,هو سبابي ف هادش
had l partma mamfrouchach,this flat is equipped,هاد ل پارتما مامفروشاش
rah 9diim bezzaf had lktab,this book is too old,راه قديم بزّاف هاد لكتاب
tbogssti 3lina,you are well dressed,تبوغستي علينا
lbit rah mjmo3.,the room is clean,البيت راه مجموع.
rah r9i9.,he is tiny,راه رقيق.
rah twil.,he is tall,راه طويل.
rah mozdawij chakhssia,he is skizophrenic,راه مزدوج شخصية
chwia dial tawado3,be humble,شوية ديال التواضع
hadch ra2i3,this is fantastic,هادش رائع
ra mafrasoch lblan,he doesnt know this,را مافراسوش البلان
madich 3lih rah mawa3ich.,he isnt well educated,ماديش عليه راه مواعيش.
matkhafch l film rah akhla9i.,this film is respectful,ماتخافش لفيلم راه أخلاقي.
rak mstili a sat,you sick my friend,راك مستيلي أ ساعت
rah mjhoul lhawiya,he is anonymous,راه مجهول الحوية
rah fchkel had derri,he is weird this dude,راه فشكل هاد ديري
had lma7al ghali.,this shop is expensive,هاد المحل غالي.
9ra3iti,you became bald,قراعيتي
rah msta9ll b rassou,he is independant,راه مستقل براسو
rah radd lbal l7wayjou,he is aware of his clothes,راه رد البال لحوايجو
hade dar dial lkra,this house is for rent,هاد دار ديال الكرا
rah ra9m sirri.,this is a code,راه رقم سري.
rah gha 7m9.,he is nuts,راه غا حمق.
had tricot mlwwen bezzaf,this shirt is colored,هاد تريكوت ملون بزّاف
rah ma3ndou maydar f 7yatou,he does nothing in his life,راه ماعندو مايدار في حياتو
weliti 3ami9.,you think deeply,و ليتي عميق.
rah meskin moghram,he is in love,راه مسكين مغرم
rah ba9i jdid.,you still new,راه باقي جديد.
rah mntadm f slatou,he is disciplined in his prayers,راه منتدم ف سلاتو
lbassou mtnas9.,he dress accordingly,البسو متناسق.
rah maghayjicg,he wont come,راه ماغايجيك
rah nfsi 7ara,i'm prideful,راه نفسي حرا
3ndou bezzaf m3a lougha l3arabia,he speaks good arabic,عندو بزّاف معا اللغة العربية
hadche ttewer bezzaf,this is well developed,هادش توّر بزّاف
rah majliss t2dibi,this is disciplinary measures,راه مجلس تأديبي
malk 3abit,why are you stupid,مالك عبيط
rah kayfrre7ni hadche,this makes me happy,راه كايفرّحني هادش
rah chmkar.,you are a bum,راه شمكار.
rah gharib l atwar,he is weird ,راه غريب الأتوار
rah zyada mn rass l7m9,dont add bullshit,راه زيادة من راس الحمق
had l7amam skhoun,this bath is hot,هاد الحمام سخون
khl3tini nare,you scared me,خلعتيني نار
dkchi kiji tdriji.,this comes with time,دكشي كيجي تدريجي.
rah kitsenak berra.,he wairs for you outside,راه كيتسناك برا.
rah had dwassa dial lkhdma.,this docs are for work,راه هاد دوسة ديال لخدمة.
rah had lmoughani wela 3aalami.,this singer is popular,راه هاد المغني ولا عالمي.
rah 7chman menek,he is shy in front of you,راه حشمان منك
ki3jbni nidam.,i like organisation,كيعجبني الندم.
rah khbitou f lbit,i hid him in my room,راه خبيطو ف البيت
rah takhayoul dialk was3,your imagination is too big,راه تخيول ديالك وسع
3ajib hadche li katgoul,weird what you say,عجيب هادش لي كاتڭول
matb9ach tzid m3aya flhdra,dont argue with me,ماتبقاش تزيد معايا فالهدرة
rah makaytsnne3ch flhdra,he doesnt pretend,راه ماكايتسنّعش فلهدرا
rah balagh wizari.,this is ministery statement,راه بالغ وزاري.
rah mobtakar mn 3bd wa7d mghribi,this is made by a moroccan,راه مبتكر من عبد واحد مغربي
koun moutafahim chwia,be understanding,كون متفاهم شوية
had ljaw n9i,this weather is clear,هاد الجو نقي
had djaj ba9i 7ey,this chicken is still alive,هاد دجاج باقي حي
rah maki7chm makiremech,he isnt even well behaved,راه ماكيحشم ماكيرمش
rah mokhlis f khdmtou,he works very well,راه مخلس ف خدمتو
rah lmoustawa dialou mtwsset.,he is average,راه المستوى ديالو متوسط.
rah kml khdmtou,he finished his job,راه كمل خدمتو
rah makinch m3amen,couldnt go along,راه ماكينش معامن
rah kaybni mousta9balou,he is bulding a carrer,راه كايبني مستقبلو
rah ghayr mnti9i hadche li katgoul,this is not logical,راه غير منتيقي هادش لي كاتڭول
rah darori tkemel had lkhdma,you need to finish this job,راه ضروري تكمل هاد الخدمة
rah chadah doukha,he is dizzy,راه شداه دوخة
3ndhoum ro7 ta3awouni,you have cooperative spirit,عندهم روح تعاوني
rah soloukou mendabet,he is disciplined ,راه سلوكو مدابت
rah mabaghich ikhroj,he doesnt want to go outside,راه مابغيتش يخرج
rah dima mkhchi f dak lbit,he is always inside his room,راه ديما مخشي ف داك البيت
t9dr tdekhel m3ak lmakla,you can get your food,تقدر تدخل معاك الماكلة
rah mntouj asli.,this is original product,راه منتوج أصلي.
rah manaje7ch.,he didnt succeed,راه ماناجحش.
rah mamrbbich.,he isnt disciplined,راه مامربيش.
ga3 s7abi borjwaziyin,all my friends are rich,ڭاع سحابي برجوزيين
rah doustour 3ilmani.,the national code is laic,راه دوستور عليا.
raha lou3ba momti3a,this game is fun,راها لوعبة ممتعة
rah hadche gha mo299at.,this is just for now,راه هادش غا موقّات.
koulchi sahem f lcadeau.,everyone assisted for this gift,كولشي ساهم ف الكادو.
rah hadche 3mrou ysali,this will never end,راه هادش عمرو يسالي
hadche makichb3ch,this doesnt fulfill,هادش ماكيشبعش
rah ma3ndou maydir.,he can do nothing,راه ماعندو مايدير.
dar rabet f dak derb,the house fall of in the nighbor,دار رابط ف داك الدرب
anmchi l baladiya,i will go to the municipality,أنمشي لبلديا
rani mt7mmes l had lkhrja,im too excited,راني متحمس ل هاد لخرجة
rah 7doudi,he is introverted,راه حدودي
rah mtwetter ktr mn l9yass,he is too nervous,راه متوتر كتر من القياس
had lkhdma t3ksat,this job didnt work too well,هاد الخدمة تعكسات
tkhayl iti7 lik tiliphon mn ste7,imagine your phon falling off,تخايل يتح ليك تيليفون من ستح
dkhel fih rmouk,a carrier hit me,دخل فيه رموك
ki3jbouh gnawa,he likes gnawa,كيعجبوه كناوة
rah gha bgha yd7ek m3ak,he is just kidding with you,راه غا بغا يضحك معاك
rah kay3rf igheni,he signs well,راه كايعرف يغني
rah twil hadche bezzaf,this is too long,راه طويل هادش بزّاف
rah twe7cht n3om,i'm shy to swim,راه توحشت نعوم
rah hadche gha chekli.,this is just pretentious,راه هادش غا شكلي.
rah maghatnsach had lkhrja,i wont wait for too long,راه ماغاتنساش هاد الخرجة
had ljaw ka2ib.,this is too depressing,هاد الجو كائب.
rah houa lt7tani.,he is under,راه هو لتحتاني.
rah tlft 3la dkhla,i didnt find the entrance,راه طلفت على دخلة
rah momkin ikhrjou,maybe they will go out,راه ممكن يخرجو
rah mohob tbarkklah,he is talented,راه محب تبارك الله
anb9aw s7ab lil abad,we will be friend forever,أنبقاو صحاب للأبد
l7mi ki3grni,my muscles hurt,الحمي كيعجرني
ljaw si7ri.,the weather is magical,الجو سحري.
nass rah mfhoum.,half is understandable,ناس راه مفهوم.
rah koulchi bayn.,everything is clear,راه كولشي باين.
seboura mawad7ach.,the board is unclear,سبورة مواضحاش.
khass n7arbou tahmich dial drare sghar.,we should care for young boys,خاسّ نحاربو تهميش ديال درارة صغار.
rah kan motaw99a3 hadche ytra,this was expected,راه كان متوقعاع هادش يطرا
hjm 3lia klb,a dog stroke me,هجم عليا كلب
rah mtna9d gha m3a rassou,he is contradicted,راه متناقد غا معا راسو
kayn chi dissir kikoun mawsimi.,some fruits are seasonal,كاين شي ديسير كيكون موسمي.
hadche 3adim.,this is glorious,هادش عظيم.
rewenti denya,you spoiled things,ريونتي دنيا
n9ss lia chouf,i dont see to will,نقص ليا شوف
rah la niha2i hadche li glt,this isnt final,راه لا نهائي هادش لي قلت
had salon mdikori zwin,the salon is well decorated,هاد سالون مديكوري زوين
ch7al katkmi f nhar ?,how much you smoke a day,شحال كاتكمي ف نهار ?
chad mansib zwin.,he has good post,شاد مناسب زوين.
chwia dial dimo9ratia,some dimocracy,شوية ديمقراطية
ch7al mghyar had khouna,he is too jealous,شحال مغير هاد خونا
hadche khayali.,this is imaginary,هادش خيالي.
kichfr 3ayn bayn,he robs publically,كيشفر عينين
rah l9itou mesdoud.,i found it close,راه لقيتو مسدود.
rah ghalat hadche li katgoul,this is wrong,راه غلط هادش لي كاتڭول
tbeddelti,you changed,تبدّلتي
rah s7i7 3lik,he is more muscular than you,راه صحيح عليك
wellefti chwia ?,you got accustomed ?,و لفتي شوية ?
rah mriguel.,he is weird,راه مريڭل.
rah mdowwakh.,he is dizzy,راه مدواخ.
rah berrert lik chnou dert,i justified this,راه برّرت ليك شنو درت
rah mrtabt.,he is in a relationship,راه مرتابت.
had l9issa molhima bezzaf,the story is too imprtant,هاد القصة ملهمة بزّاف
roz mchttet.,rice is spilled,روز مشتّت.
chkoun had boul7ya ?,who is this beardguy,شكون هاد بولحيا ?
rah zayd na9ss,he isnt important,راه زايد نقص
rah khari9 3la l3ada,its extraordinary,راه خريق على العادة
had lb7r stitna2i.,this beach is exceptional,هاد البحر استنتاي.
rah fransawi.,he is french,راه فرنساوي.
rah sblyoni.,he is spanish,راه سبليوني.
rah mirikani.,he is american,راه أمريكاني.
rah chinwi.,he is chinese,راه شينوي.
rah mkhbbi 3lik lhih,he is hidden there,راه مخبي عليك الهيه
rah mti99en bli nta li chfrtini,he is sure you robbed,راه متيقّن بلي نتا لي شفرتيني
rah ra2isiya had chhiwa,this meal is imprtant,راه رئيسية هاد الشهيوة
rah mezhar ana,i'm lucky,راه مزهر أنا
rah mdayrin ta3arouf,there are getting to know each other,راه مدايرين تعارف
rah tewe3 l5edma,he left the job,راه توق لخدمة
rah dramatiki kter men l9yass,he is too dramatic,راه درامتيكي كتر من القياس
rah mo2a9at had te5yir,this is just for now,راه مؤقات هاد تغير
rah dehbi had loun,this color is gold,راه دهبي هاد اللون
rah 7ibbi had lmatch l3aba mala3binch mn niythom,this match is amical,راه حبيبي هاد الماتش لعابة ملعبينش من نيتهم
l3aba ra m9esrin ghir bchwiya,they play chilling,لعبة را مقسرين غير بشوية
rah me3tameded 3la mou tyeb lig,his mother cooks for him,راه معتمدد على مو طيب ليڭ
rah kil3ebd fdawri tanafosi.,he plays in professional match,راه كلعبد فدوري تنافسي.
rah dar t5yir jedri,he changed radically,راه دار تخير جدري
rah 7essasa had l2oum,this mother is sensitive,راه حسّاسة هاد لأوم
rah 5arj mn jame3,he is out of mosquet,راه خارج من جامع
rah msete7 had tiran,this field is flat,راه مستحق هاد طيران
rah 3atifs kat7ekem fih,he is dramatic,راه عاطفس كاتحكم فيه
rah 5ate2 ghir ki5erbe9,he is wrong,راه خطأ غير كيسربق
rah 3wej had rajel,he isnt fit,راه عوج هاد الراجل
rah si77iya had lmakla,this meal is healthy,راه سحيّة هاد لماكلة
rah chamla had sef9a lga3 nawa7i,this offer is global,راه شملة هاد الصفقة الجديدة
rah sri3a had tonobil,this car is fast,راه سريعة هاد طونوبيل
rah sekkouti had lwliyed,he is introverted this guy,راه سكّوتي هاد لوليد
rah zherek kayheress l7jer,he is way too lucky,راه زهرك كايهرسّ لحجر
rah d3if ma5ayjihch had trico,he is lean wont find clothes,راه دعيف ماخايجهش هاد تريكو
rah mel7oud had tatawor,this change is observatory,راه ملحود هاد التتاور
rah sirri hadchi li kangoul lik,this what i say is secret,راه سري هادشي لي كانڭول ليك
rah 3ziz 3liya kskso,i love this kouskous,راه عزيز عليا كسكسو
rah fazeg had trico,this shirt is wet,راه فازڭ هاد تريكو
rah mota2alli9 had l3ab,this player is phenomenal,راه متألق هاد العاب
rah iliktroni had lmakina,this machine is electronic,راه اللكتروني هاد الماكينة
rah kaytchaf l9ima dial jbel,this cost of mountaint,راه كايتشاف القمة ديال جبل
rah korsi tl5acheb,this chair of wood,راه كرسي تلخب
rah saarim had l2ostad,this teacher is talented,راه ساريم هاد الأستاد
rah adabi deri flbac,this student learns adab,راه أدبي ديري فالباك
rah 9ase7 rajel ftrebiytou,this man is harsh,راه قاسح راجل فطربيتو
rah mojerrad ma anaka 5at7yed 3lik l5edma 5aterta7,when you take job you will feel comfy,راه مجرد ما أنك خاتحيد عليك الخدمة حترتاج
rah a9saa mayw9e3 tmchi dir 3amaliya,you will do an operation,راه أقصى مايوقع تمشي دير عملية
rah bahet trico,this shirt is old,راه باهيت تريكو
rah mentachr lwaba2,this virus is spread,راه منتشر الوباء
rah katoliki hadak li ja zar lmdina,you tell me he visited the city,راه كاتولي هاداك لي جا زر المدينة
rah m5edma disk klasiki,she playing a classical music,راه مخدمة ديسك كلاسيكي
rah weldha lmofaddal,he is her favorite son,راه ولدها المفضل
rah 3ndou 3rram dial l7wayj,he has plenty of clothes,راه عندو عرّام ديال لحوايج
rah 7lo bezzaf dial l9ehwat,too suggary,راه حلو بزّاف ديال لقهوات
rah m5eta5eta liya wa7ed lfe5,i'm planning a trap,راه مخطاعة ليا واحد الفق
rah kiti9 fiya bezzaf,i empathize with you,راه كيتيق فيا بزّاف
rah 3eks ma glti,its against what yo usaid,راه عكس ما قلتي
rah mofid had tmrin,this exercise is imprtant,راه مفيد هاد تمرين
rah s3ib had lmti7an,this exam is hard,راه صعيب هاد المتحان
rah metnase9a had lbessa,this place goes well,راه متناسقة هاد البصة
rah kisre3 lmsemmen,he makes well msemen,راه كيسرع المسمن
rah msta9erra l3a2ila daba,the family is stable,راه مستقرة لعائلة دابا
rah dima 5ayjik goud,he is always straight,راه ديما خايجيك ڭود
rah kay5le3 had lkelb,this dog is scary,راه كايخلع هاد الكلب
rah stratijiya had l5ota,this plan is strategic,راه استراتيجية هاد الخطة
rah momtaza had ne9ta,this grading is excellent,راه ممتازة هاد نقطة
rah klinik dial sa7bi sir lih 3la 7sabi,this clinic is my friend's go to it,راه كلينيك ديال صاحبي سير ليه على حسابي
rah wa3i had telmid men se5rou,this student is intelligent,راه واعي هاد التلميد من سخرو
rah msyer lah fhad l5edma,this job is going well,راه مسير للهاد الخدمة
rah bared had lkass,this glass is cold,راه بارد هاد الكاس
rah dostour dial lblad mafih maytchaf,this national code isnt well made,راه دستور ديال البلاد مافيه مايتشاف
rah rajli 5edban,my husband is sad,راه راجلي خدبان
rah rajli mehmoum m3a lcredit,my husband thinks about his loans,راه راجلي مهموم مع الكريديت
rah mo9adassa had lblassa,this place is sacred,راه مقدسة هاد البلاصة
rah had dar dial skna,this place is habitable,راه هاد دار ديال سكنا
rah fayt lih mcha berra flbato,he travelled via boat,راه فيت ليه مشا برا فالبطو
rah saken flvilla,he lives in a villa,راه ساكن فلڤيلا
rah las9a fiya hadik rtila,this spider is sticking on me,راه الصقة فيا هاديك رتيلة
rah khari9 lil3ada ana mab9atch l7roub,its excellent there is no wars,راه خريق للعادة أنا مابقيتش لحروب
rah taari5i had me2ss l3alam,this historic world,راه تعريتي هاد مس لعالم
rah nazih had l9adi,this judge is fair,راه نازيه هاد القاضي
rah d9i9 had lbernamej,this programme is accurate,راه دقيق هاد البرنامج
rah bayn rak 5ats9et,its clear you will fail,راه باين راك خاصقت
rah 9lil hadchi li tyebti ma9adnach,what you cooked isnt sufficient,راه قليل هادشي لي تيبتي ماقدناش
rah kantl3amlo ghir blflouss,we learn with money,راه كانتلعملو غير بالفلوس
kantsa7bo ghir 3la lflouss,we do relationship for money,كانتساحبو غير على الفلوس
rah 3an bo3d kan9raw,we study remotely,راه عن بعد كنقراو
rah sari7 m3a li rajel m3ah,he is honest with good people,راه صريح معا لي راجل معاه
rah b3id bezzaf bach yji 3dna lyouma,he is too far wont come today,راه بعيد بزّاف باش يجي عدنا ليوما
rah mchomer hadi mouda,he is jobless for long time,راه مشومر هادي مدة
rah driyef had dri sghir,this boy is too kind,راه دريف هاد دري صغير
rah nefsi haf lmerd,this sickness is psychological,راه نفسي هاف المرض
rah sghir had lkelb,this dog is small,راه صغير هاد الكلب
ra melssin had ltimoumat,these rocks are soft,را ملسّين هاد لتيمومات
rah 3anif had lkelb,this dog is agressive,راه عانيف هاد الكلب
rah ta5yir haykali fsite,this is getting late,راه تغير هايكالي فسيت
rah mdewer rassou 3liya had l3am,he is thinkg about something else,راه مدور راسو عليا هاد العام
rah 7ssassa had lbniyta,this girl is sensitive,راه حسّاسة هاد لبنيتا
rah mola9ab ba7ssen restora,this is the best restaurant,راه ملقاب باحسن ريسطورة
ra site mtassel blprogramme dial restora,this program is related to the resturant,را سيت متاسل بلپروڭرام ديال ريسطورا
rah 9rib lina restora,this restaurant is close,راه قريب لينا ريسطورة
rah momtann l2ostad ltlamed sialo,this teacher is thankful,راه ممتن الأستاد للمدرس سيالو
rah zwin had deri,this boy is cute,راه زوين هاد ديري
rah wade7 l9adi fl7okm dialo,this judge is fair in his judgement,راه واحد القاضي فالحكم ديالو
rah mawsimi had lmesre7,this theatre is seasonal,راه موسمي هاد المسرح
rah momti3 had lfilm,this film is entertaining,راه ممتع هاد الفيلم
rah ki3aweni had lwliyed,this boy helps me,راه كيعاوني هاد الوليد
rah zamil diali fl9isem,he is my collegue,راه زميل ديالي فالقسم
rah klasiki had disk,this song is classical,راه كلاسيكي هاد ديسك
rah mosse5 had lkaryam,this place is dirty,راه مسّح هاد لكاريام
3ndak douz jit lkaryan,dont go to karyan ,عندك دوز جيت الكريان
rah kaykaafe2 li kistahel,its rewarding,راه كايكافئ لي كيستاهل
rah mer5i bezzaf had lwliyed,this boy isnt too smart,راه مرحي بزّاف هاد لوليد
rah mobdi3 had ressam,this painter is talented,راه مبدع هاد الرسام
rah darou tawra fikriya,this is a revolutionary movement,راه دارو توا راكيرية
rah fa9d l2amal.,he lost hope,راه فاقد الأمل.
rah jatou de3wa 9adaa2iya,he is being sued,راه جاتو دعوة قادحة
rah dima jayinou brossiyat,he has speeding ticket,راه ديما جايينو بروسيات
rah dima 7areg do,he doesnt respect circulation code,راه ديما حرڭ دو
rah 5ayr 9anoni hadchi li kadir,what you do is not legal,راه خاير قانوني هادشي لي كادير
rah taari5i had lnatch tawa7ed maynsah,this match is legendary,راه تعري هاد الناتش تاواحد ماينساه
rah mcharji lbagaje ftonobil,is packed stuff in my car,راه مشارجي الباجاج فتونوبيل
rah 5ayr rsmiya had l5edma,this job isnt official,راه خاير رسمية هاد الخدمة
rah morra had lmakla,after this meal,راه مرة هاد الماكلة
rah mdayran tjriba 3la wa7ed llfar,we have an experiement on a rat,راه مدايران تجربة على واحد الفر
rah mdayrin ftour jama3i,we have a global breakfast,راه مدايرين فطور جماعي
rah kayt3awdou 3liya beezaf dial lblanat,they gossip on me,راه كايتعاودو عليا بزاف ديال البلانات
rah rou7i n3tiha lil,i will give him his soul,راه روحي نعطيها لله
rah mcharji tilifouni,this phone is charged,راه مشارجي تيليفوني
rah taari5iya had lblassa,this place is historical,راه تعريقية هاد البلاصة
rah me39oul dir b7aloka,this is fairly logical,راه معقول دير بحالوكا
rah mamnasbch lil had rajel,this guy isnt for you,راه مامناسبش للي هاد راجل
rah 7add had lmouss,this knife is sharp,راه حدّ هاد لموس
rah mnanti9i ta5oud had l9ara,its logical you take this continent,راه منتيقي تاخود هاد القرا
rah m9bol had lwliyed,this guy is funny,راه مقبول هاد الوليد
rah osbou3i had sou9,this market is weekly,راه وسبوعي هاد سوق
rah 3echwa2i had lbni,this construction isnt good,راه عشوائي هاد البني
rah mtwade3 had lbeznass,this businessman is humble,راه متواضع هاد البزناس
rah mzeyyer men na7it lflouss,i'm tight on money,راه مزيّر من ناحيت لفلوس
ra kayjiwni floussou de5ya flbanka,i get money quickly,را كايجيوني فلوسو دخيا فالبنكة
rah dima na3es fl9ism,i sleep on class,راه ديما ناعس فالقسم
rah dki had telmid laykter menou,this student is intelligent,راه دكي هاد تلميد لايكتر منو
